RK,YEAR,PLAYER,TEAM,CONF,MIN%,TS,OR,DR,AST,TO,BLK,STL,FTR,AST,REB,PTS
121,Fr,LJ Thomas,North Carolina St.,ACC,21.1,56.6,7.4,18,8.6,18.9,1.1,3.1,21.1,0.5,2.1,2.4
122,So,D'Marco Dunn,North Carolina,ACC,20.6,52.3,2.8,5.2,4,9.7,2.1,1.5,15.2,0.2,0.7,2.7
123,Fr,Baba Miller,Florida St.,ACC,20.1,51.8,4.2,21.6,9,28.5,3.1,1.4,17.5,0.8,3.7,4.3
124,Fr,Jorge Diaz Graham,Pittsburgh,ACC,19.8,48.8,7.2,19.6,7.9,12.2,6.5,3.4,65.6,0.4,2.2,2.9
125,Jr,Davion Bradford,Wake Forest,ACC,19.5,66.3,9.3,14.6,2.1,26.9,5.5,0.2,80.6,0.1,2,2.5
126,Fr,Tom House,Florida St.,ACC,18.1,37.7,2.6,8.8,9.1,13.8,0.5,0.7,22.2,0.4,0.7,1.5
127,Fr,Chauncey Wiggins,Clemson,ACC,17.4,58.2,1.1,9.5,7.7,10.3,1.5,1,5.9,0.4,0.8,2.3
128,So,Roosevelt Wheeler,Louisville,ACC,17.1,37,12.3,15,2.7,17.2,2.6,1.4,56.3,0.1,2,1.2
129,So,Breon Pass,North Carolina St.,ACC,16.2,45.5,2.5,10.9,5.8,29.1,0.5,2.7,10.9,0.3,0.9,1.5
130,So,Mounir Hima,Syracuse,ACC,15.7,47.6,11.2,15.1,3.2,17.8,16.2,2,19.2,0.1,1.7,1
131,So,Nate Santos,Pittsburgh,ACC,15.7,36.4,3.4,16.1,5.9,13.8,1.1,2.3,19,0.3,1.3,1.6
132,Sr,Dusan Mahorcic,North Carolina St.,ACC,15.6,63.6,13.6,22,10.6,17.2,3.6,1.9,46.4,1.2,6.5,8.7
133,Jr,Tristan Maxwell,Georgia Tech,ACC,15.5,35.8,2.3,7.8,12.7,12.5,0.5,1.8,12.2,0.8,1,3.3
134,So,Hercy Miller,Louisville,ACC,15.4,40.4,7.5,11.1,12.5,16.1,0.6,1.2,44.9,0.4,1.1,1.8
135,Fr,Quadir Copeland,Syracuse,ACC,14.3,43.6,7.8,11.2,9.1,23.5,1.4,2.9,36.6,0.5,1.6,2.1
136,Fr,John Camden,Virginia Tech,ACC,13.8,36,4,10.2,3.5,5.6,1.2,0,25,0.2,1,1.3
137,Fr,Zach Keller,Wake Forest,ACC,13.5,45.7,6.7,10.2,2.8,13.7,1.2,2.2,38.9,0.2,1.5,2.3
